"Teff" "amTreg"
"TRBV1" 0.056976198855722 0.0440615260006245
"TRBV11" 0 0
"TRBV12-1" 0.0121503376601125 0.0319042836936884
"TRBV12-2" 0.0135158665241545 0.0303560355698963
"TRBV12-3" 2.09806172665445e-07 0
"TRBV13-1" 0.0975712283916095 0.080580607647269
"TRBV13-2" 0.102506153550385 0.0900418646552926
"TRBV13-3" 0.0844763764565492 0.0795389202977451
"TRBV14" 0.0205719717027436 0.0175641834616121
"TRBV15" 0.0322702326196667 0.0402022320501213
"TRBV16" 0.052933201594113 0.0761883589267917
"TRBV17" 0.0170968660356471 0.0226872536710323
"TRBV18" 3.29970313504096e-07 1.47185222192323e-06
"TRBV19" 0.0501210777090171 0.0390458000802761
"TRBV2" 0.0204068861122614 0.0204325054720359
"TRBV20" 0.0466463431941846 0.049068496800479
"TRBV21" 0.000345950384472941 0.000215691412516508
"TRBV22" 0.00013022281171963 7.7987233630911e-05
"TRBV23" 0.00614606420120179 0.00647695683496049
"TRBV24" 0.0014263249067637 0.0011616185048565
"TRBV25" 4.63043395073277e-06 6.94566744015885e-07
"TRBV26" 0.0244128954891486 0.0327593268722009
"TRBV28" 0 0
"TRBV29" 0.0340143093847858 0.0227882090713206
"TRBV3" 0.0546907013931662 0.0696773154099793
"TRBV30" 0.00578248749505073 0.01013570920949
"TRBV31" 0.13831210897094 0.0903585577442673
"TRBV4" 0.0368529716465646 0.0296151863457958
"TRBV5" 0.090589193142714 0.115035192443581
"TRBV8" 4.88595568690208e-05 2.40141715700086e-05
