"Teff" "amTreg"
"TRBJ1-1" 0.0919634672307277 0.0918878970710379
"TRBJ1-2" 0.0514073389542832 0.047102657520173
"TRBJ1-3" 0.0579822497303051 0.0596621159057038
"TRBJ1-4" 0.0667506296595524 0.067830709341938
"TRBJ1-5" 0.0274008090643417 0.0264154924850872
"TRBJ1-6" 0.0294958666890196 0.035195060799986
"TRBJ1-7" 1.31988125401639e-06 1.94302279942953e-07
"TRBJ2-1" 0.102624238441136 0.102364045579454
"TRBJ2-2" 0.059793678782716 0.0578559410554009
"TRBJ2-3" 0.095979405807459 0.0791838402252988
"TRBJ2-4" 0.0992932173333165 0.10774333487125
"TRBJ2-5" 0.128831237003827 0.118585285080915
"TRBJ2-7" 0.188476541422062 0.206173425761476
